ma_sach,ten_sach,text_for_embedding
48,Tội Ác Và Hình Phạt,"Tên sách: Tội Ác Và Hình Phạt. Tác giả: Fyodor Dostoevsky. Năm XB: 1866. NXB: NXB Thế Giới. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, tâm lý. Mô tả: Được xuất bản năm 1866, 'Tội Ác và Hình Phạt' của Fyodor Dostoevsky là một trong những tác phẩm kinh điển của văn học Nga, khám phá sâu sắc tâm lý tội phạm và đạo đức con người. Câu chuyện xoay quanh Raskolnikov, một sinh viên nghèo khổ ở St. Petersburg, người đã giết một bà lão cho vay nặng lãi vì tin rằng hành động của mình có thể biện minh được nếu nó phục vụ một mục đích cao cả hơn. Tuy nhiên, sau tội ác, anh bị dằn vặt bởi cảm giác tội lỗi và nỗi sợ hãi, dẫn đến một hành trình nội tâm đầy đau khổ để tìm kiếm sự cứu rỗi. Tác phẩm không chỉ là một câu chuyện trinh thám mà còn là một nghiên cứu sâu sắc về tâm hồn con người, đặt câu hỏi về luân lý, công lý và sự tha thứ. Đây là một cuốn sách đầy sức mạnh, để lại ấn tượng sâu đậm trong lòng độc giả qua nhiều thế hệ.. Mục đích: suy ngẫm, tìm hiểu tâm lý tội phạm, triết lý, buồn. Đối tượng: người lớn. Đặc điểm: Hành trình tâm lý của Raskolnikov sau tội ác. Từ khóa: tiểu thuyết, tâm lý, tội phạm."
50,Dế Mèn Phiêu Lưu Ký,"Tên sách: Dế Mèn Phiêu Lưu Ký. Tác giả: Tô Hoài. Năm XB: 1941. NXB: NXB Kim Đồng. Thể loại: Tiểu Thuyết (Sách Việt Nam). Cảm xúc: vui vẻ, giáo dục. Mô tả: Tác phẩm kinh điển của văn học thiếu nhi Việt Nam, 'Dế Mèn Phiêu Lưu Ký' của nhà văn Tô Hoài, được xuất bản lần đầu vào năm 1941, là một câu chuyện phiêu lưu đầy ý nghĩa dành cho cả trẻ em và người lớn. Tiểu thuyết kể về hành trình của Dế Mèn, một chú dế trẻ tuổi, mạnh mẽ nhưng ban đầu khá kiêu ngạo, từ những ngày đầu sống trong làng quê yên bình đến khi bước ra thế giới rộng lớn. Trên đường đi, Dế Mèn gặp gỡ nhiều bạn bè như Dế Trũi, Châu Chấu, Cào Cào và học được những bài học quý giá về tình bạn, lòng dũng cảm, sự khiêm tốn và tinh thần đoàn kết. Với lối kể chuyện sinh động, giàu hình ảnh và đậm chất văn hóa Việt Nam, tác phẩm không chỉ mang tính giải trí mà còn chứa đựng những triết lý sâu sắc về cuộc sống, khiến nó trở thành một trong những cuốn sách được yêu thích nhất qua nhiều thế hệ.. Mục đích: giải trí, giáo dục, bài học cuộc sống, vui vẻ. Đối tượng: trẻ em, mọi lứa tuổi. Đặc điểm: Hành trình phiêu lưu của Dế Mèn học về tình bạn và lòng dũng cảm. Từ khóa: thiếu nhi, phiêu lưu, tình bạn."
51,Số Đỏ,"Tên sách: Số Đỏ. Tác giả: Vũ Trọng Phụng. Năm XB: 1936. NXB: NXB Kim Đồng. Thể loại: Tiểu Thuyết (Sách Việt Nam). Cảm xúc: suy ngẫm, trào phúng. Mô tả: Được xuất bản lần đầu vào năm 1936 trên báo Phong Hóa, 'Số Đỏ' của Vũ Trọng Phụng là một trong những tiểu thuyết hiện thực phê phán xuất sắc nhất của văn học Việt Nam thời kỳ tiền chiến. Tác phẩm xoay quanh nhân vật Xuân Tóc Đỏ, một kẻ lưu manh cơ hội, nhờ sự may mắn và thủ đoạn mà từ một gã làm nghề đánh giày trở thành một 'quý nhân' trong xã hội thượng lưu thời bấy giờ. Qua câu chuyện của Xuân, Vũ Trọng Phụng đã vạch trần sự giả dối, tha hóa đạo đức và những mâu thuẫn sâu sắc trong xã hội Việt Nam thời Pháp thuộc, đặc biệt là tầng lớp tư sản và phong trào 'Âu hóa' nửa vời. Với ngòi bút trào phúng sắc sảo, ngôn ngữ sống động và cách xây dựng nhân vật đầy chiều sâu, 'Số Đỏ' không chỉ là một tác phẩm văn học mà còn là một bức tranh xã hội chân thực, để lại dấu ấn mạnh mẽ trong lịch sử văn học Việt Nam.. Mục đích: suy ngẫm, phê phán xã hội, giải trí, trào phúng. Đối tượng: người lớn. Đặc điểm: Phê phán xã hội qua hành trình của Xuân Tóc Đỏ. Từ khóa: tiểu thuyết, trào phúng, hiện thực."
52,Nỗi Buồn Chiến Tranh,"Tên sách: Nỗi Buồn Chiến Tranh. Tác giả: Bảo Ninh. Năm XB: 1987. NXB: NXB Hội Nhà Văn. Thể loại: Tiểu Thuyết (Sách Việt Nam). Cảm xúc: buồn, chiến tranh. Mô tả: Xuất bản lần đầu vào năm 1987, 'Nỗi Buồn Chiến Tranh' của Bảo Ninh là một tiểu thuyết chiến tranh đầy ám ảnh, được coi là một trong những tác phẩm tiêu biểu của văn học Việt Nam thời kỳ đổi mới. Tác phẩm kể về cuộc đời của Kiên, một người lính trẻ sống sót sau cuộc chiến tranh chống Mỹ, nhưng bị ám ảnh bởi những ký ức đau thương về đồng đội, tình yêu và sự mất mát. Qua những dòng hồi tưởng không theo trình tự thời gian, Bảo Ninh đã tái hiện chân thực sự tàn khốc của chiến tranh, không chỉ trên chiến trường mà còn trong tâm hồn con người. Tiểu thuyết không tập trung vào chiến thắng hay anh hùng ca, mà đi sâu vào nỗi đau, sự cô đơn và những vết thương không bao giờ lành của một thế hệ trẻ bị chiến tranh cướp đi tuổi thanh xuân. Với lối viết giàu cảm xúc và đầy chất thơ, 'Nỗi Buồn Chiến Tranh' đã chạm đến trái tim của hàng triệu độc giả và được dịch ra nhiều ngôn ngữ trên thế giới.. Mục đích: suy ngẫm, tìm hiểu về chiến tranh, cảm nhận nỗi đau, buồn. Đối tượng: người lớn. Đặc điểm: Hồi ức đau thương của người lính Kiên sau chiến tranh. Từ khóa: tiểu thuyết, chiến tranh, ký ức."
57,Tàn Đèn Dầu Lạc,"Tên sách: Tàn Đèn Dầu Lạc. Tác giả: Nguyễn Tuân. Năm XB: 1939. NXB: NXB Văn học. Thể loại: Phóng Sự (Sách Việt Nam). Cảm xúc: suy ngẫm, nhân văn. Mô tả: “Ngọn Đèn Dầu Lạc” là một truyện ngắn đặc sắc của Nguyễn Tuân, thể hiện rõ phong cách nghệ thuật tài hoa, độc đáo của ông. Câu chuyện xoay quanh hình ảnh người trí thức sống trong thời loạn, giữ gìn ánh sáng của tri thức và nhân cách giữa bóng tối xã hội. Ngọn đèn dầu lạc – biểu tượng của sự sống, ánh sáng, và niềm tin – được Nguyễn Tuân sử dụng như một hình tượng nghệ thuật giàu giá trị biểu cảm. Truyện không chỉ khắc họa con người mà còn là một thông điệp sâu sắc về khí chất, phẩm giá và lòng yêu nước của tầng lớp trí thức Việt Nam trước Cách mạng.. Mục đích: suy ngẫm, cảm thụ nghệ thuật, tìm hiểu văn hóa, nhân văn. Đối tượng: mọi lứa tuổi. Đặc điểm: Hình ảnh trí thức giữ gìn ánh sáng tri thức và nhân cách. Từ khóa: truyện ngắn, nhân văn, nghệ thuật."
58,Tắt Đèn,"Tên sách: Tắt Đèn. Tác giả: Ngô Tất Tố. Năm XB: 1937. NXB: NXB Văn Học. Thể loại: Tiểu Thuyết (Sách Việt Nam). Cảm xúc: buồn, hiện thực. Mô tả: Tác phẩm phản ánh số phận bi thảm của người nông dân dưới chế độ thực dân phong kiến, nổi bật qua hình ảnh chị Dậu – một người phụ nữ giàu tình thương và kiên cường. “Tắt Đèn” là một áng văn hiện thực phê phán đặc sắc, để lại dấu ấn sâu đậm trong lòng nhiều thế hệ độc giả.. Mục đích: suy ngẫm, tìm hiểu lịch sử xã hội, phê phán, buồn. Đối tượng: mọi lứa tuổi. Đặc điểm: Số phận bi thảm của chị Dậu dưới chế độ phong kiến. Từ khóa: tiểu thuyết, hiện thực, nông dân."
59,Nhật Ký Anne Frank,"Tên sách: Nhật Ký Anne Frank. Tác giả: Anne Frank. Năm XB: 1947. NXB: NXB Văn Học. Thể loại: Tự Truyện (Sách Nước Ngoài). Cảm xúc: buồn, cảm động. Mô tả: Là những dòng nhật ký chân thực, xúc động của cô bé Anne Frank trong thời gian trốn chạy phát xít Đức, tác phẩm không chỉ là chứng tích lịch sử mà còn là biểu tượng về niềm tin, nghị lực và khao khát sống mãnh liệt của con người. Cuốn sách đã lay động hàng triệu trái tim trên toàn thế giới.. Mục đích: suy ngẫm, tìm hiểu lịch sử, cảm động, truyền cảm hứng, buồn. Đối tượng: mọi lứa tuổi. Đặc điểm: Nhật ký xúc động của Anne Frank trong Thế chiến II. Từ khóa: tự truyện, lịch sử, nhân văn."
64,Giáo Trình Toán Cao Cấp – Tập 1,"Tên sách: Giáo Trình Toán Cao Cấp – Tập 1. Tác giả: Nguyễn Đình Trí. Năm XB: 2018. NXB: NXB Giáo Dục. Thể loại: Toán Học (Sách Giáo Khoa). Cảm xúc: học tập. Mô tả: Cuốn sách được biên soạn nhằm phục vụ sinh viên khối kỹ thuật với các chương cơ bản về giải tích, đạo hàm, vi phân, tích phân, chuỗi số và hàm nhiều biến. Phù hợp với chương trình đại học, nội dung rõ ràng, nhiều ví dụ minh họa.. Mục đích: học tập, giáo dục, tài liệu tham khảo. Đối tượng: sinh viên. Đặc điểm: Giáo trình giải tích cho sinh viên kỹ thuật. Từ khóa: toán học, giáo trình, kỹ thuật."
65,Tuổi Trẻ Đáng Giá Bao Nhiêu,"Tên sách: Tuổi Trẻ Đáng Giá Bao Nhiêu. Tác giả: Rosie Nguyễn. Năm XB: 2016. NXB: NXB Hội Nhà Văn. Thể loại: Truyền Cảm Hứng (Sách Việt Nam). Cảm xúc: động lực, truyền cảm hứng. Mô tả: Cuốn sách truyền cảm hứng của Rosie Nguyễn, khuyến khích người trẻ sống hết mình, theo đuổi đam mê và tìm ý nghĩa cuộc sống. Tác phẩm là tập hợp những bài học về sự tự do, khám phá bản thân và cách vượt qua khó khăn, được viết bằng giọng văn gần gũi, dễ tiếp cận.. Mục đích: phát triển bản thân, truyền cảm hứng, động lực, chữa lành tâm hồn. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Truyền cảm hứng cho người trẻ sống hết mình và theo đuổi đam mê. Từ khóa: self-help, động lực, tuổi trẻ."
66,Totto-chan: Cô Bé Bên Cửa Sổ,"Tên sách: Totto-chan: Cô Bé Bên Cửa Sổ. Tác giả: Tetsuko Kuroyanagi. Năm XB: 1981. NXB: NXB Kim Đồng. Thể loại: Tự Truyện (Sách Nước Ngoài). Cảm xúc: vui vẻ, cảm động. Mô tả: Câu chuyện cảm động về cô bé Totto-chan – một đứa trẻ bị đuổi học vì “nghịch ngợm” nhưng lại tìm thấy sự thấu hiểu tuyệt đối từ thầy hiệu trưởng trường Tomoe. Tác phẩm là hồi ức chân thực về một mô hình giáo dục tiến bộ tại Nhật Bản, nơi trẻ em được tôn trọng và tự do phát triển cá tính. Đây không chỉ là một cuốn sách dành cho trẻ nhỏ, mà còn là tấm gương soi sáng cho mọi người lớn đang làm cha mẹ, làm giáo viên.. Mục đích: suy ngẫm, giáo dục, giải trí, cảm động, vui vẻ. Đối tượng: trẻ em, mọi lứa tuổi, phụ huynh, giáo viên. Đặc điểm: Hồi ức về giáo dục tiến bộ qua câu chuyện của Totto-chan. Từ khóa: tự truyện, giáo dục, trẻ em."
67,Pride And Prejudice,"Tên sách: Pride And Prejudice. Tác giả: Jane Austen. Năm XB: 1813. NXB: T. Egerton, Whitehall. Thể loại: Lãng Mạn (Sách Nước Ngoài). Cảm xúc: lãng mạn, tình yêu. Mô tả: Một trong những tiểu thuyết lãng mạn nổi tiếng nhất mọi thời đại, 'Pride and Prejudice' kể về mối quan hệ giữa Elizabeth Bennet và Mr. Darcy. Tác phẩm phản ánh xã hội Anh thế kỷ 19, với những định kiến về giai cấp và hôn nhân. Văn phong sắc sảo và hài hước của Jane Austen đã tạo nên một tác phẩm kinh điển vượt thời gian.. Mục đích: giải trí, suy ngẫm, tìm hiểu văn học kinh điển, lãng mạn, tình yêu. Đối tượng: mọi lứa tuổi. Đặc điểm: Tình yêu giữa Elizabeth Bennet và Mr. Darcy trong xã hội Anh. Từ khóa: tiểu thuyết, lãng mạn, kinh điển."
68,And Then There Were None,"Tên sách: And Then There Were None. Tác giả: Agatha Christie. Năm XB: 1939. NXB: Collins Crime Club. Thể loại: Kinh Dị (Sách Nước Ngoài). Cảm xúc: hồi hộp, bí ẩn. Mô tả: Mười người xa lạ được mời đến một hòn đảo biệt lập, nơi họ lần lượt bị giết theo một bài đồng dao. Không ai biết ai là kẻ giết người, và sự căng thẳng tăng lên khi số người sống sót giảm dần. Đây là một trong những tác phẩm trinh thám nổi tiếng nhất của Agatha Christie.. Mục đích: giải trí, hồi hộp, trinh thám, bí ẩn. Đối tượng: người lớn. Đặc điểm: Bí ẩn trinh thám trên đảo biệt lập với bài đồng dao chết chóc. Từ khóa: trinh thám, bí ẩn, kinh dị."
69,The Little Prince (Le Petit Prince),"Tên sách: The Little Prince (Le Petit Prince). Tác giả: Antoine de Saint-Exupéry. Năm XB: 1943. NXB: Reynal & Hitchcock. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: vui vẻ, suy ngẫm. Mô tả: Một phi công gặp gỡ một cậu bé đến từ hành tinh khác trong sa mạc Sahara. Qua những câu chuyện của cậu bé, tác phẩm truyền tải những bài học sâu sắc về tình yêu, sự cô đơn và ý nghĩa cuộc sống. Dù được viết cho trẻ em, nhưng thông điệp của nó lại chạm đến trái tim của mọi lứa tuổi.. Mục đích: suy ngẫm, giáo dục, giải trí, triết lý, vui vẻ. Đối tượng: trẻ em, mọi lứa tuổi. Đặc điểm: Bài học triết lý về tình yêu và cuộc sống qua cậu bé từ hành tinh khác. Từ khóa: tiểu thuyết, triết lý, trẻ em."
70,Người Thầy,"Tên sách: Người Thầy. Tác giả: Nguyễn Chí Vịnh. Năm XB: 2023. NXB: Quân đội Nhân dân. Thể loại: Phóng Sự (Sách Việt Nam). Cảm xúc: động lực, cảm động. Mô tả: Cuốn hồi ký sâu sắc về Thiếu tướng Đặng Trần Đức (Ba Quốc), người thầy tình báo của tác giả. Tác phẩm không chỉ ghi lại những chiến công mà còn khắc họa mối quan hệ thầy trò đầy cảm động, với những câu chuyện đời thường và bài học sâu sắc trong ngành tình báo.. Mục đích: suy ngẫm, giáo dục, tìm hiểu lịch sử, truyền cảm hứng, động lực, cảm động. Đối tượng: mọi lứa tuổi. Đặc điểm: Hồi ký về thầy tình báo Đặng Trần Đức và bài học sâu sắc. Từ khóa: hồi ký, tình báo, thầy trò."
72,Bất Chợt Mai Vàng,"Tên sách: Bất Chợt Mai Vàng. Tác giả: Nguyễn Trí Huân. Năm XB: 2023. NXB: Công an Nhân dân. Thể loại: Lịch Sử (Sách Việt Nam). Cảm xúc: buồn, cảm động. Mô tả: Lấy bối cảnh đại dịch Covid-19, tác phẩm đan xen giữa hiện tại và quá khứ chiến tranh, phản ánh những ký ức đau thương và sự kiên cường của con người trong những thời khắc khó khăn nhất.. Mục đích: suy ngẫm, cảm nhận lịch sử, đồng cảm, buồn, cảm động. Đối tượng: người lớn. Đặc điểm: Đan xen ký ức chiến tranh và đại dịch Covid-19. Từ khóa: tiểu thuyết, chiến tranh, Covid-19."
73,Những Miền Lưu Dấu – Cảnh Việt Trong Văn Chương,"Tên sách: Những Miền Lưu Dấu – Cảnh Việt Trong Văn Chương. Tác giả: Nhiều tác giả. Năm XB: 2023. NXB: NXB Kim Đồng. Thể loại: Văn Học (Sách Việt Nam). Cảm xúc: vui vẻ, văn hóa. Mô tả: Tuyển tập 35 trích đoạn thơ và truyện ngắn nổi bật của văn học Việt Nam, kết hợp với tranh minh họa giàu mỹ cảm, mang đến một hành trình khám phá cảnh sắc và tâm hồn Việt.. Mục đích: suy ngẫm, giáo dục, cảm thụ văn hóa, giải trí, vui vẻ. Đối tượng: mọi lứa tuổi. Đặc điểm: Tuyển tập thơ và truyện ngắn về cảnh sắc và tâm hồn Việt. Từ khóa: thơ ca, truyện ngắn, văn hóa Việt."
74,A Tale Of Two Cities,"Tên sách: A Tale Of Two Cities. Tác giả: Charles Dickens. Năm XB: 1859. NXB: Chapman & Hall. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, lịch sử. Mô tả: Lấy bối cảnh trong thời kỳ Cách mạng Pháp, tác phẩm kể về cuộc sống của Charles Darnay và Sydney Carton, hai người đàn ông giống nhau về ngoại hình nhưng khác nhau về số phận. Tác phẩm nổi bật với câu mở đầu nổi tiếng: 'It was the best of times, it was the worst of times...' và là một trong những tiểu thuyết bán chạy nhất mọi thời đại.. Mục đích: suy ngẫm, tìm hiểu lịch sử, văn học kinh điển, buồn. Đối tượng: người lớn. Đặc điểm: Câu chuyện về số phận trong Cách mạng Pháp. Từ khóa: tiểu thuyết, lịch sử, Cách mạng Pháp."
75,Việt Nam Sử Lược,"Tên sách: Việt Nam Sử Lược. Tác giả: Trần Trọng Kim. Năm XB: 2019. NXB: NXB Trẻ. Thể loại: Lịch Sử (Sách Việt Nam). Cảm xúc: lịch sử, giáo dục. Mô tả: Là bộ thông sử đầu tiên viết bằng chữ quốc ngữ, 'Việt Nam Sử Lược' trình bày lịch sử nước ta từ thời Hồng Bàng đến đầu thế kỷ 20, với văn phong mạch lạc, dễ hiểu.. Mục đích: học tập, suy ngẫm, giáo dục, tìm hiểu lịch sử. Đối tượng: mọi lứa tuổi. Đặc điểm: Lịch sử Việt Nam từ Hồng Bàng đến thế kỷ 20. Từ khóa: lịch sử, Việt Nam, giáo dục."
76,Tố Tâm,"Tên sách: Tố Tâm. Tác giả: Hoàng Ngọc Phách. Năm XB: 1925. NXB: Nam Đồng Thư Xã. Thể loại: Tiểu Thuyết (Sách Việt Nam). Cảm xúc: lãng mạn, buồn. Mô tả: Được xem là tiểu thuyết tâm lý đầu tiên của Việt Nam, 'Tố Tâm' kể về mối tình đầy trắc trở giữa Đạm Thủy và Tố Tâm, phản ánh xung đột giữa tình yêu cá nhân và lễ giáo phong kiến.. Mục đích: suy ngẫm, giải trí, tìm hiểu văn học, lãng mạn, buồn. Đối tượng: mọi lứa tuổi. Đặc điểm: Mối tình trắc trở giữa Đạm Thủy và Tố Tâm. Từ khóa: tiểu thuyết, tình yêu, phong kiến."
